JOKER 92 133 131 142
RECT 147 35 148 36 7
RECT 155 35 156 36 7
RECT 163 35 164 36 7
RECT 171 35 172 36 7
RECT 179 35 180 36 7
RECT 187 35 188 36 7
RECT 195 35 196 36 7
RECT 203 35 204 36 7
RECT 211 35 212 36 7
RECT 11 43 12 44 7
RECT 51 43 52 44 7
RECT 99 43 100 44 7
RECT 123 43 124 44 7
RECT 171 43 172 44 7
RECT 211 43 212 44 7
RECT 10 48 13 55 7
RECT 210 48 213 55 7
RECT 9 49 14 54 7
RECT 209 49 214 54 7
RECT 8 50 15 53 7
RECT 208 50 215 53 7
RECT 51 51 52 52 7
RECT 99 51 100 52 7
RECT 123 51 124 52 7
RECT 171 51 172 52 7
RECT 11 59 12 60 7
RECT 51 59 52 60 7
RECT 99 59 100 60 7
RECT 123 59 124 60 7
RECT 171 59 172 60 7
RECT 211 59 212 60 7
RECT 11 67 12 68 7
RECT 19 67 20 68 7
RECT 27 67 28 68 7
RECT 35 67 36 68 7
RECT 43 67 44 68 7
RECT 51 67 52 68 7
RECT 59 67 60 68 7
RECT 67 67 68 68 7
RECT 75 67 76 68 7
RECT 83 67 84 68 7
RECT 91 67 92 68 7
RECT 99 67 100 68 7
RECT 107 67 108 68 7
RECT 115 67 116 68 7
RECT 123 67 124 68 7
RECT 131 67 132 68 7
RECT 139 67 140 68 7
RECT 147 67 148 68 7
RECT 155 67 156 68 7
RECT 163 67 164 68 7
RECT 171 67 172 68 7
RECT 179 67 180 68 7
RECT 187 67 188 68 7
RECT 195 67 196 68 7
RECT 203 67 204 68 7
RECT 211 67 212 68 7
RECT 11 75 12 76 7
RECT 51 75 52 76 7
RECT 75 75 76 76 7
RECT 147 75 148 76 7
RECT 171 75 172 76 7
RECT 211 75 212 76 7
RECT 11 83 12 84 7
RECT 51 83 52 84 7
RECT 75 83 76 84 7
RECT 147 83 148 84 7
RECT 171 83 172 84 7
RECT 211 83 212 84 7
RECT 11 91 12 92 7
RECT 19 91 20 92 7
RECT 27 91 28 92 7
RECT 35 91 36 92 7
RECT 43 91 44 92 7
RECT 51 91 52 92 7
RECT 75 91 76 92 7
RECT 83 91 84 92 7
RECT 91 91 92 92 7
RECT 99 91 100 92 7
RECT 123 91 124 92 7
RECT 131 91 132 92 7
RECT 139 91 140 92 7
RECT 147 91 148 92 7
RECT 171 91 172 92 7
RECT 179 91 180 92 7
RECT 187 91 188 92 7
RECT 195 91 196 92 7
RECT 203 91 204 92 7
RECT 211 91 212 92 7
RECT 51 99 52 100 7
RECT 171 99 172 100 7
RECT 51 107 52 108 7
RECT 171 107 172 108 7
RECT 51 115 52 116 7
RECT 171 115 172 116 7
RECT 51 123 52 124 7
RECT 171 123 172 124 7
RECT 51 131 52 132 7
RECT 171 131 172 132 7
RECT 133 136 133 145 7
RECT 132 138 133 144 7
RECT 51 139 52 140 7
RECT 134 139 134 146 7
RECT 171 139 172 140 7
RECT 121 143 134 144 7
RECT 121 145 122 145 7
RECT 124 145 126 145 7
RECT 129 145 131 145 7
RECT 121 146 121 146 7
RECT 125 146 126 146 7
RECT 129 146 130 146 7
RECT 51 147 52 148 7
RECT 171 147 172 148 7
RECT 51 155 52 156 7
RECT 171 155 172 156 7
RECT 51 163 52 164 7
RECT 171 163 172 164 7
RECT 51 171 52 172 7
RECT 171 171 172 172 7
RECT 51 179 52 180 7
RECT 171 179 172 180 7
RECT 11 187 12 188 7
RECT 19 187 20 188 7
RECT 27 187 28 188 7
RECT 35 187 36 188 7
RECT 43 187 44 188 7
RECT 51 187 52 188 7
RECT 59 187 60 188 7
RECT 67 187 68 188 7
RECT 75 187 76 188 7
RECT 83 187 84 188 7
RECT 91 187 92 188 7
RECT 99 187 100 188 7
RECT 123 187 124 188 7
RECT 131 187 132 188 7
RECT 139 187 140 188 7
RECT 147 187 148 188 7
RECT 155 187 156 188 7
RECT 163 187 164 188 7
RECT 171 187 172 188 7
RECT 179 187 180 188 7
RECT 187 187 188 188 7
RECT 195 187 196 188 7
RECT 203 187 204 188 7
RECT 211 187 212 188 7
RECT 11 195 12 196 7
RECT 51 195 52 196 7
RECT 99 195 100 196 7
RECT 123 195 124 196 7
RECT 171 195 172 196 7
RECT 211 195 212 196 7
